// First ray in my case
Dx = 0.263840, Dy = 0.109286, I = 1.052124e+04

// 35th ray
Dx = 0.263840, Dy = -0.109286, I = 4.867815e+03
Dx = 0.263840, Dy = -0.109286, I = 8.240170e+03
Dx = 0.263840, Dy = -0.109286, I = 1.052124e+04
Dx = 0.263840, Dy = -0.109286, I = 4.536885e+03
Dx = 0.263840, Dy = -0.109286, I = 7.390430e+03
Dx = 0.263840, Dy = -0.109286, I = 9.128061e+03
Dx = 0.263840, Dy = -0.109286, I = 3.103645e+03
Dx = 0.263840, Dy = -0.109286, I = 4.509185e+03
Dx = 0.263840, Dy = -0.109286, I = 5.145709e+03

// 36th ray
Dx = 0.109286, Dy = -0.263840, I = 6.712008e+03
Dx = 0.109286, Dy = -0.263840, I = 9.042480e+03
Dx = 0.109286, Dy = -0.263840, I = 9.777589e+03
Dx = 0.109286, Dy = -0.263840, I = 5.187606e+03
Dx = 0.109286, Dy = -0.263840, I = 6.588120e+03
Dx = 0.109286, Dy = -0.263840, I = 6.941547e+03
Dx = 0.109286, Dy = -0.263840, I = 2.452924e+03
Dx = 0.109286, Dy = -0.263840, I = 2.816581e+03
Dx = 0.109286, Dy = -0.263840, I = 2.870494e+03

// 37th ray
Dx = -0.109286, Dy = -0.263840, I = 9.608244e+03
Dx = -0.109286, Dy = -0.263840, I = 8.476719e+03
Dx = -0.109286, Dy = -0.263840, I = 4.947303e+03
Dx = -0.109286, Dy = -0.263840, I = 6.872099e+03
Dx = -0.109286, Dy = -0.263840, I = 6.304145e+03
Dx = -0.109286, Dy = -0.263840, I = 4.071073e+03
Dx = -0.109286, Dy = -0.263840, I = 2.863536e+03
Dx = -0.109286, Dy = -0.263840, I = 2.769631e+03
Dx = -0.109286, Dy = -0.263840, I = 2.136224e+03

// 38th ray
Dx = -0.263840, Dy = -0.109286, I = 9.608244e+03
Dx = -0.263840, Dy = -0.109286, I = 6.872099e+03
Dx = -0.263840, Dy = -0.109286, I = 2.863536e+03
Dx = -0.263840, Dy = -0.109286, I = 8.476719e+03
Dx = -0.263840, Dy = -0.109286, I = 6.304145e+03
Dx = -0.263840, Dy = -0.109286, I = 2.769631e+03
Dx = -0.263840, Dy = -0.109286, I = 4.947303e+03
Dx = -0.263840, Dy = -0.109286, I = 4.071073e+03
Dx = -0.263840, Dy = -0.109286, I = 2.136224e+03

// 39th ray
Dx = -0.263840, Dy = 0.109286, I = 4.947303e+03
Dx = -0.263840, Dy = 0.109286, I = 4.071073e+03
Dx = -0.263840, Dy = 0.109286, I = 2.136224e+03
Dx = -0.263840, Dy = 0.109286, I = 8.476719e+03
Dx = -0.263840, Dy = 0.109286, I = 6.304145e+03
Dx = -0.263840, Dy = 0.109286, I = 2.769631e+03
Dx = -0.263840, Dy = 0.109286, I = 9.608244e+03
Dx = -0.263840, Dy = 0.109286, I = 6.872099e+03
Dx = -0.263840, Dy = 0.109286, I = 2.863536e+03

// 40th ray
Dx = -0.109286, Dy = 0.263840, I = 2.870494e+03
Dx = -0.109286, Dy = 0.263840, I = 2.816581e+03
Dx = -0.109286, Dy = 0.263840, I = 2.452924e+03
Dx = -0.109286, Dy = 0.263840, I = 6.941547e+03
Dx = -0.109286, Dy = 0.263840, I = 6.588120e+03
Dx = -0.109286, Dy = 0.263840, I = 5.187606e+03
Dx = -0.109286, Dy = 0.263840, I = 9.777589e+03
Dx = -0.109286, Dy = 0.263840, I = 9.042480e+03
Dx = -0.109286, Dy = 0.263840, I = 6.712008e+03

// 41st ray
Dx = 0.078956, Dy = 0.190617, I = 2.812024e+03
Dx = 0.078956, Dy = 0.190617, I = 3.219320e+03
Dx = 0.078956, Dy = 0.190617, I = 3.278313e+03
Dx = 0.078956, Dy = 0.190617, I = 5.836052e+03
Dx = 0.078956, Dy = 0.190617, I = 7.354864e+03
Dx = 0.078956, Dy = 0.190617, I = 7.724855e+03
Dx = 0.078956, Dy = 0.190617, I = 7.462059e+03
Dx = 0.078956, Dy = 0.190617, I = 9.940675e+03
Dx = 0.078956, Dy = 0.190617, I = 1.069166e+04

// 42nd ray
Dx = 0.190617, Dy = 0.078956, I = 3.536406e+03
Dx = 0.190617, Dy = 0.078956, I = 5.091553e+03
Dx = 0.190617, Dy = 0.078956, I = 5.775435e+03
Dx = 0.190617, Dy = 0.078956, I = 5.111670e+03
Dx = 0.190617, Dy = 0.078956, I = 8.206557e+03
Dx = 0.190617, Dy = 0.078956, I = 1.002298e+04
Dx = 0.190617, Dy = 0.078956, I = 5.462514e+03
Dx = 0.190617, Dy = 0.078956, I = 9.088981e+03
Dx = 0.190617, Dy = 0.078956, I = 1.144347e+04

// 43rd ray
Dx = 0.190617, Dy = -0.078956, I = 5.462514e+03
Dx = 0.190617, Dy = -0.078956, I = 9.088981e+03
Dx = 0.190617, Dy = -0.078956, I = 1.144347e+04
Dx = 0.190617, Dy = -0.078956, I = 5.111670e+03
Dx = 0.190617, Dy = -0.078956, I = 8.206557e+03
Dx = 0.190617, Dy = -0.078956, I = 1.002298e+04
Dx = 0.190617, Dy = -0.078956, I = 3.536406e+03
Dx = 0.190617, Dy = -0.078956, I = 5.091553e+03
Dx = 0.190617, Dy = -0.078956, I = 5.775435e+03

// 44th ray
Dx = 0.078956, Dy = -0.190617, I = 7.462059e+03
Dx = 0.078956, Dy = -0.190617, I = 9.940675e+03
Dx = 0.078956, Dy = -0.190617, I = 1.069166e+04
Dx = 0.078956, Dy = -0.190617, I = 5.836052e+03
Dx = 0.078956, Dy = -0.190617, I = 7.354864e+03
Dx = 0.078956, Dy = -0.190617, I = 7.724855e+03
Dx = 0.078956, Dy = -0.190617, I = 2.812024e+03
Dx = 0.078956, Dy = -0.190617, I = 3.219320e+03
Dx = 0.078956, Dy = -0.190617, I = 3.278313e+03

// 45th ray
Dx = -0.078956, Dy = -0.190617, I = 1.052378e+04
Dx = -0.078956, Dy = -0.190617, I = 9.357566e+03
Dx = -0.078956, Dy = -0.190617, I = 5.566553e+03
Dx = -0.078956, Dy = -0.190617, I = 7.654179e+03
Dx = -0.078956, Dy = -0.190617, I = 7.055549e+03
Dx = -0.078956, Dy = -0.190617, I = 4.616555e+03
Dx = -0.078956, Dy = -0.190617, I = 3.270849e+03
Dx = -0.078956, Dy = -0.190617, I = 3.167791e+03
Dx = -0.078956, Dy = -0.190617, I = 2.456259e+03

// 46th ray
Dx = -0.190617, Dy = -0.078956, I = 1.052378e+04
Dx = -0.190617, Dy = -0.078956, I = 7.654179e+03
Dx = -0.190617, Dy = -0.078956, I = 3.270849e+03
Dx = -0.190617, Dy = -0.078956, I = 9.357566e+03
Dx = -0.190617, Dy = -0.078956, I = 7.055549e+03
Dx = -0.190617, Dy = -0.078956, I = 3.167791e+03
Dx = -0.190617, Dy = -0.078956, I = 5.566553e+03
Dx = -0.190617, Dy = -0.078956, I = 4.616555e+03
Dx = -0.190617, Dy = -0.078956, I = 2.456259e+03

// 47th ray
Dx = -0.190617, Dy = 0.078956, I = 5.566553e+03
Dx = -0.190617, Dy = 0.078956, I = 4.616555e+03
Dx = -0.190617, Dy = 0.078956, I = 2.456259e+03
Dx = -0.190617, Dy = 0.078956, I = 9.357566e+03
Dx = -0.190617, Dy = 0.078956, I = 7.055549e+03
Dx = -0.190617, Dy = 0.078956, I = 3.167791e+03
Dx = -0.190617, Dy = 0.078956, I = 1.052378e+04
Dx = -0.190617, Dy = 0.078956, I = 7.654179e+03
Dx = -0.190617, Dy = 0.078956, I = 3.270849e+03

// 48th ray
Dx = -0.078956, Dy = 0.190617, I = 3.278313e+03
Dx = -0.078956, Dy = 0.190617, I = 3.219320e+03
Dx = -0.078956, Dy = 0.190617, I = 2.812024e+03
Dx = -0.078956, Dy = 0.190617, I = 7.724855e+03
Dx = -0.078956, Dy = 0.190617, I = 7.354864e+03
Dx = -0.078956, Dy = 0.190617, I = 5.836052e+03
Dx = -0.078956, Dy = 0.190617, I = 1.069166e+04
Dx = -0.078956, Dy = 0.190617, I = 9.940675e+03
Dx = -0.078956, Dy = 0.190617, I = 7.462059e+03

// 49th ray
Dx = 0.036063, Dy = 0.087063, I = 3.837001e+03
Dx = 0.036063, Dy = 0.087063, I = 4.355367e+03
Dx = 0.036063, Dy = 0.087063, I = 4.425397e+03
Dx = 0.036063, Dy = 0.087063, I = 7.551338e+03
Dx = 0.036063, Dy = 0.087063, I = 9.316172e+03
